ids,label,phaidra
"['https://viaf.org/viaf/37689780/', 'https://data.cerl.org/thesaurus/cnp02030729', 'https://www.wikidata.org/wiki/Q1395172']","Ulm, Hans Ludwig von",https://pid.phaidra.org/vocabulary/BKYR-RAWZ
"['https://data.cerl.org/thesaurus/cnp00537598', 'https://www.wikidata.org/wiki/Q559828', 'http://viaf.org/viaf/54189591']","Pázmány, Péter",https://pid.phaidra.org/vocabulary/Y2N5-HSNK
"['https://viaf.org/viaf/78779996/', 'https://www.wikidata.org/wiki/Q503126', 'https://data.cerl.org/thesaurus/cnp00550750']","Holinshed, Raphael",https://pid.phaidra.org/vocabulary/M5KW-2MXG
['https://www.wikidata.org/wiki/Q2054'],Seneca,https://pid.phaidra.org/vocabulary/TQ9S-EXGT
[],Signor Gantelmo,https://pid.phaidra.org/vocabulary/PSM7-F3CB
[],"Papazzoni, Giovanni Bonaventura",https://pid.phaidra.org/vocabulary/A43C-M8TF
"['https://data.cerl.org/thesaurus/cnp00909864', 'https://www.wikidata.org/wiki/Q322331', 'https://viaf.org/viaf/9870846/']","Holstenius, Lucas",https://pid.phaidra.org/vocabulary/JJD6-Y49E
[],"Fux, Georgius",https://pid.phaidra.org/vocabulary/AE4Q-EPNH
[],"Willich, Paul",https://pid.phaidra.org/vocabulary/R8VZ-D9HZ
[],Erzelius,https://pid.phaidra.org/vocabulary/1K0W-GN1U
[],Hendrik van Dortmunt,https://pid.phaidra.org/vocabulary/K5PK-3ABW
[],Hitenspiller,https://pid.phaidra.org/vocabulary/DBG2-S242
[],"Ghero, Ranutio",https://pid.phaidra.org/vocabulary/T87D-YNA3
[],"Kuthner, Johannes",https://pid.phaidra.org/vocabulary/223D-R1P4
"['https://viaf.org/viaf/34542491/', 'https://data.cerl.org/thesaurus/cnp00395896', 'https://www.wikidata.org/wiki/Q551420']",Landgraf von Hessen,https://pid.phaidra.org/vocabulary/QRJ1-GKYM
[],Schilderi famulus,https://pid.phaidra.org/vocabulary/EJVM-BHWB
"['https://www.wikidata.org/wiki/Q21069482', 'https://kaiserhof.geschichte.lmu.de/Q/GND=1045948853', 'https://viaf.org/viaf/84712269/', 'https://data.cerl.org/thesaurus/cnp02117224#bm_thesaurus_cnp02117224']","Dietrichstein, Margarete",https://pid.phaidra.org/vocabulary/PV2W-0YY3
[],Schuabius,https://pid.phaidra.org/vocabulary/C18C-2PQT
[],Hüttendorfer,https://pid.phaidra.org/vocabulary/556J-SRR1
['https://www.wikidata.org/wiki/Q294923'],Athenaeus,https://pid.phaidra.org/vocabulary/W1VT-8P4R
[],M. Wildius,https://pid.phaidra.org/vocabulary/DN6S-YSQQ
[],"Quinget, Caspar",https://pid.phaidra.org/vocabulary/79KD-NZMK
